name,exploit_date,classification,technique,loss_usd,chain,bridgeHack,targetType,returnedFunds,defillamaId,language,source_url,parentProtocolId,extra_source,extra_attack_method,extra_loss_usd,extra_protocol,extra_date
UwU Lend,6/10/24,Ecosystem,Flashloan Price Oracle Attack,20000000,Ethereum,FALSE,DeFi Protocol,,2111,Solidity,https://x.com/theblockupdates/status/1800146327914877062,,,,,,
Platypus Finance,10/13/23,Protocol Logic,Reentrancy,2200000,Avalanche,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/platypus-rekt2/,,,,,,
Maestro,10/23/23,Protocol Logic,Arbitrary External Call,465000,Ethereum,FALSE,DeFi Protocol,465000,,,https://x.com/MaestroBots/status/1717113987479785558,,,,,,
US Permissionless Dollar,12/4/25,Protocol Logic,"""CPIMP"" proxy front-run",1000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/USPD_io/status/1996711283446464598,,,,,,
Indodax,9/10/24,Infrastructure,Access Control Exploit,25200000,"Ethereum,Polygon,Optimism",FALSE,CEX,,,,https://news.bitcoin.com/indonesian-crypto-exchange-hit-by-20-5m-hack-lazarus-group-suspected/,,,,,,
Akropolis,11/12/20,Ecosystem,Flashloan Reentrancy Attack,2000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/akropolis-rekt/,,ChainSec,,2000000.0,Akropolis,2020-11-12
Origin Protocol,11/17/20,Ecosystem,Flashloan Reentrancy Attack,8000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/hack-epidemic/,,ChainSec,,7000000.0,Origin Protocol,2020-11-17
DFX V2,11/10/22,Protocol Logic,Reentrancy,4000000,Ethereum,FALSE,DeFi Protocol,,366,Solidity,https://twitter.com/peckshield/status/1590831589004816384?s=20&t=0ylCEXp_O5DBIbFTAHA9vA,parent#dfx-finance,,,,,
MERLIN DEX,4/25/23,Rugpull,Drained Contracts,1820000,zkSync Era,FALSE,DeFi Protocol,,2849,,https://twitter.com/TheMerlinDEX/status/1651281814395187200?t=p0udX-ZR1mQfkhNS9KCfEQ&s=19,,,,,,
Transit Swap,10/2/22,Protocol Logic,Transfer Logic Exploit,21000000,"Ethereum,BSC",FALSE,DeFi Protocol,,,Solidity,https://rekt.news/transit-swap-rekt/,,ChainSec,,21000000.0,Transit Swap,2022-10-02
WXETA,9/16/24,Protocol Logic,Access Control Exploit,110000,"Ethereum,BSC",FALSE,DeFi Protocol,,,Solidity,https://x.com/TenArmorAlert/status/1835494807495659645,,,,,,
Palmswap,7/24/23,Protocol Logic,Inflationary Accounting Manipulation,900000,BSC,FALSE,DeFi Protocol,,3279,Solidity,https://twitter.com/peckshield/status/1683609019334950912,,,,,,
HTX,9/25/23,Infrastructure,Private Key Compromised (Unknown Method),8000000,Ethereum,FALSE,CEX,,,,https://twitter.com/justinsuntron/status/1706311251024822748?t=saJprSiK51MMd2GUBTnDsQ&s=19,,,,,,
Radiant V2,1/2/24,Protocol Logic,Flashloan New Market Exploit,4500000,Arbitrum,FALSE,DeFi Protocol,,2706,Solidity,https://twitter.com/peckshield/status/1742334242120466580,parent#radiant,,,,,
Tectonic,11/18/24,Protocol Logic,Price Oracle Attack,,Cronos,FALSE,DeFi Protocol,,1115,,https://x.com/5outh53a/status/1858374778299748383,,,,,,
Arcadia V1,7/10/23,Ecosystem,Flashloan Reentrancy Attack,460000,"Ethereum,Optimism",FALSE,DeFi Protocol,,3210,,https://arcadiafinance.medium.com/post-mortem-72e9d24a79b0,parent#arcadia-finance,,,,,
ALEX,6/6/25,Protocol Logic,malicious transfer() method,8373000,Stacks,FALSE,DeFi Protocol,,1466,Clarity,https://x.com/ALEXLabBTC/status/1931014419133169734,,,,,,
GMX V1 Perps,7/9/25,Protocol Logic,Re-entrancy Exploit,42000000,Arbitrum,FALSE,DeFi Protocol,40000000,337,Solidity,https://x.com/peckshield/status/1942947860645134450,parent#gmx,,,,,
Ratio Finance,12/3/22,Infrastructure,Private Key Compromised (Unknown Method),,Solana,FALSE,DeFi Protocol,,1841,Rust,https://twitter.com/RatioFinance/status/1621481456777428992,,,,,,
GemPad,12/17/24,Protocol Logic,Reentrancy,2000000,"Ethereum,Base,BSC",FALSE,DeFi Protocol,,,,https://x.com/CyversAlerts/status/1869000606955782305,,,,,,
Compounder Finance,12/2/20,Rugpull,Drained Contracts,12000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/deathbed-confessions-c3pr/,,,,,,
Yearn Finance,4/13/23,Ecosystem,Flashloan Misconfiguration Exploit,11539000,Ethereum,FALSE,DeFi Protocol,,113,Solidity,https://twitter.com/osec_io/status/1646411672175939585?s=20,parent#yearn,,,,,
LCX,1/8/22,Infrastructure,Private Key Compromised (Unknown Method),7940000,Ethereum,FALSE,DeFi Protocol,,,,https://www.lcx.com/hot-wallet-incident-report/,,,,,,
Silo Finance,6/25/25,Protocol Logic,fillQuote silo.borrow() Exploit,546000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/CertiKAlert/status/1937882770216452174,,,,,,
Curve DEX,8/9/22,Infrastructure,DNS Spoofing,575000,Ethereum,FALSE,DeFi Protocol,575000,3,,https://rekt.news/curve-finance-rekt/,parent#curve-finance,,,,,
Conic Finance,7/22/23,Ecosystem,Flashloan Price Oracle Attack,300000,Ethereum,FALSE,DeFi Protocol,,2616,Solidity,https://medium.com/@ConicFinance/post-mortem-eth-and-crvusd-omnipool-exploits-c9c7fa213a3d,,,,,,
CREAM Lending,10/27/21,Ecosystem,Flashloan Price Oracle Attack,130000000,Ethereum,FALSE,DeFi Protocol,,121,Solidity,https://rekt.news/cream-rekt-2/,parent#cream-finance,,,,,
AnubisDAO,10/29/21,Rugpull,Drained Contracts,60000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://decrypt.co/84924/anubisdao-investors-lose-60-million-in-alleged-rug-pull,,,,,,
Arcadia V2,7/15/25,Protocol Logic,Rebalancer contract reentrancy hack,2500000,Base,FALSE,DeFi Protocol,,4455,Solidity,https://x.com/ArcadiaFi/status/1944984622183370867,parent#arcadia-finance,,,,,
Sovryn,10/4/22,Protocol Logic,Flashloan Reentrancy Attack,1100000,RSK,FALSE,DeFi Protocol,,,Solidity,https://www.halborn.com/blog/post/explained-the-sovryn-hack-october-2022,,,,,,
Wintermute,9/20/22,Infrastructure,Private Key Compromised (Brute Force),160000000,Ethereum,FALSE,Other,,,,https://slowmist.medium.com/the-real-cause-of-the-wintermute-exploit-10da7e404b3b,,,,,,
Zircon Gamma,3/18/23,Ecosystem,Flashloan Pool Shares Exploit,350000,"BSC,Moonriver",FALSE,DeFi Protocol,,2143,,https://twitter.com/Zircon_Finance/status/1637093661321183233,,,,,,
Keep3r Network,6/12/23,Infrastructure,Private Key Compromised (Vanity Address),200000,Ethereum,FALSE,DeFi Protocol,,636,Solidity,https://twitter.com/MetaSleuth/status/1668179353749041159,,,,,,
Resupply,6/25/25,Protocol Logic,Price Oracle Manipulation,9600000,Ethereum,FALSE,DeFi Protocol,,5963,Solidity,https://x.com/peckshield/status/1938061948647817647,,,,,,
Ooki,2/18/20,Protocol Logic,Flashloan Price Oracle Attack,650000,Ethereum,FALSE,DeFi Protocol,,197,,https://twitter.com/bneiluj/status/1228757175595438080?s=20&t=rHc453VaZzUqbci29H6YDA,,,,,,
Concentric,1/22/24,Infrastructure,Private Key Compromised (Social Engineering),1720000,Arbitrum,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/ConcentricFi/status/1749418658818830622,,,,,,
ArbiSwap,3/2/23,Rugpull,Infinite Mint and Dump,100000,Arbitrum,FALSE,DeFi Protocol,,2587,,https://twitter.com/CoinDesk/status/1631251260484509698,,,,,,
Yield Protocol,4/30/24,Protocol Logic,Balance Disparity Exploit,181000,Arbitrum,FALSE,DeFi Protocol,,876,Solidity,https://twitter.com/peckshield/status/1785121607192817692,,,,,,
Audius,7/25/22,Protocol Logic,Malicious Governance Proposal,6000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/audius-rekt/,,,,,,
LaunchZone,2/27/23,Protocol Logic,Access Control Exploit,700000,BSC,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/immunefi/status/1630210901360951296?s=20,,ChainSec,,700000.0,LaunchZone,2023-02-27
Ara Finance,6/19/23,Protocol Logic,Access Control Exploit,131000,BSC,FALSE,DeFi Protocol,,1099,,https://twitter.com/Phalcon_xyz/status/1670700964272295936,,,,,,
Trust Wallet,12/25/25,Infrastructure,Private Key Compromised (Supply Chain Attack),7000000,"Ethereum,Bitcoin,Solana",FALSE,Wallet,,5577,,https://x.com/zachxbt/status/2004298839625195720,,,,,,
TempleDAO,10/11/22,Protocol Logic,Exploit Lack of Input Authentication,2300000,Ethereum,FALSE,DeFi Protocol,,875,Solidity,https://twitter.com/FrankResearcher/status/1579840347647414272?s=20&t=Ld2QjyQea4YYyVt3BKyJsA,parent#temple-dao,ChainSec,,1830.0,TempleDAO,2022-10-11
